Columna1;periodo;fecham;cod_01;PatEf
0;201906;2019-06-01 00:00:00;18;4,20972E+12
1;201910;2019-10-01 00:00:00;18;4,48324E+12
2;202109;2021-09-01 00:00:00;18;5,29579E+12
3;202111;2021-11-01 00:00:00;18;5,44213E+12
4;201912;2019-12-01 00:00:00;18;4,56909E+12
5;202003;2020-03-01 00:00:00;18;4,58711E+12
6;202206;2022-06-01 00:00:00;18;5,79811E+12
7;201907;2019-07-01 00:00:00;18;4,21982E+12
8;202010;2020-10-01 00:00:00;18;4,76313E+12
9;202103;2021-03-01 00:00:00;18;5,01119E+12
10;202001;2020-01-01 00:00:00;18;4,61416E+12
11;201901;2019-01-01 00:00:00;18;4,13145E+12
12;202004;2020-04-01 00:00:00;18;4,68566E+12
13;202203;2022-03-01 00:00:00;18;5,50109E+12
14;202204;2022-04-01 00:00:00;18;5,60131E+12
15;201904;2019-04-01 00:00:00;18;4,151E+12
16;202104;2021-04-01 00:00:00;18;5,08937E+12
17;202108;2021-08-01 00:00:00;18;5,25294E+12
18;202011;2020-11-01 00:00:00;18;4,854E+12
19;202201;2022-01-01 00:00:00;18;5,62134E+12
20;202112;2021-12-01 00:00:00;18;5,5227E+12
21;202005;2020-05-01 00:00:00;18;4,78837E+12
22;202008;2020-08-01 00:00:00;18;4,75213E+12
23;201908;2019-08-01 00:00:00;18;4,40635E+12
24;202006;2020-06-01 00:00:00;18;4,81395E+12
25;201812;2018-12-01 00:00:00;18;4,13E+12
26;201909;2019-09-01 00:00:00;18;4,46006E+12
27;201903;2019-03-01 00:00:00;18;4,11146E+12
28;202007;2020-07-01 00:00:00;18;4,83701E+12
29;201911;2019-11-01 00:00:00;18;4,55319E+12
30;202012;2020-12-01 00:00:00;18;4,8785E+12
31;202009;2020-09-01 00:00:00;18;4,69553E+12
32;202101;2021-01-01 00:00:00;18;4,88577E+12
33;202002;2020-02-01 00:00:00;18;4,66934E+12
34;202205;2022-05-01 00:00:00;18;5,71149E+12
35;202106;2021-06-01 00:00:00;18;5,16374E+12
36;201905;2019-05-01 00:00:00;18;4,16956E+12
37;202207;2022-07-01 00:00:00;18;5,80971E+12
38;202202;2022-02-01 00:00:00;18;5,65453E+12
39;201902;2019-02-01 00:00:00;18;4,14718E+12
40;202107;2021-07-01 00:00:00;18;5,18572E+12
41;202208;2022-08-01 00:00:00;18;5,96145E+12
