;periodo;fecham;cod_01;PatEf
0;201812;2018-12-01 00:00:00;24;4.10166E+12
1;201812;2018-12-01 00:00:00;20;1.60263E+11
2;201812;2018-12-01 00:00:00;23;86841094436
3;201812;2018-12-01 00:00:00;5;2.07748E+11
4;201812;2018-12-01 00:00:00;10;7.7477E+11
5;201812;2018-12-01 00:00:00;18;4.13E+12
6;201812;2018-12-01 00:00:00;21;2.05456E+11
7;201812;2018-12-01 00:00:00;8;2.67365E+12
8;201812;2018-12-01 00:00:00;17;6.42858E+11
9;201812;2018-12-01 00:00:00;15;4.18521E+12
10;201812;2018-12-01 00:00:00;4;23402293004
11;201812;2018-12-01 00:00:00;22;54507205432
12;201812;2018-12-01 00:00:00;13;7.827E+11
13;201812;2018-12-01 00:00:00;14;2.35198E+11
14;201812;2018-12-01 00:00:00;11;34792185946
15;201812;2018-12-01 00:00:00;6;5.88371E+11
16;201812;2018-12-01 00:00:00;19;3.41584E+12
17;201812;2018-12-01 00:00:00;3;2.79578E+12
18;201812;2018-12-01 00:00:00;16;1.24901E+11
19;201901;2019-01-01 00:00:00;5;2.04662E+11
20;201901;2019-01-01 00:00:00;17;6.49368E+11
21;201901;2019-01-01 00:00:00;4;23378591239
22;201901;2019-01-01 00:00:00;18;4.13145E+12
23;201901;2019-01-01 00:00:00;3;2.79383E+12
24;201901;2019-01-01 00:00:00;8;2.67902E+12
25;201901;2019-01-01 00:00:00;21;2.08149E+11
26;201901;2019-01-01 00:00:00;11;33977107531
27;201901;2019-01-01 00:00:00;24;4.1158E+12
28;201901;2019-01-01 00:00:00;16;1.24546E+11
29;201901;2019-01-01 00:00:00;22;53765818436
30;201901;2019-01-01 00:00:00;10;7.81743E+11
31;201901;2019-01-01 00:00:00;6;6.00193E+11
32;201901;2019-01-01 00:00:00;20;2.32833E+11
33;201901;2019-01-01 00:00:00;23;88590964038
34;201901;2019-01-01 00:00:00;15;4.18391E+12
35;201901;2019-01-01 00:00:00;13;7.8812E+11
36;201901;2019-01-01 00:00:00;19;3.39783E+12
37;201901;2019-01-01 00:00:00;14;2.35947E+11
38;201902;2019-02-01 00:00:00;3;2.80184E+12
39;201902;2019-02-01 00:00:00;17;6.57358E+11
40;201902;2019-02-01 00:00:00;19;3.40253E+12
41;201902;2019-02-01 00:00:00;8;2.69704E+12
42;201902;2019-02-01 00:00:00;16;1.25021E+11
43;201902;2019-02-01 00:00:00;11;33579107720
44;201902;2019-02-01 00:00:00;22;54537945856
45;201902;2019-02-01 00:00:00;24;4.1494E+12
46;201902;2019-02-01 00:00:00;18;4.14718E+12
47;201902;2019-02-01 00:00:00;10;7.85991E+11
48;201902;2019-02-01 00:00:00;21;2.09063E+11
49;201902;2019-02-01 00:00:00;14;2.36798E+11
50;201902;2019-02-01 00:00:00;6;6.60265E+11
51;201902;2019-02-01 00:00:00;5;2.13012E+11
52;201902;2019-02-01 00:00:00;4;23277935947
53;201902;2019-02-01 00:00:00;20;2.34617E+11
54;201902;2019-02-01 00:00:00;23;88753290624
55;201902;2019-02-01 00:00:00;15;4.21672E+12
56;201902;2019-02-01 00:00:00;13;7.90476E+11
57;201903;2019-03-01 00:00:00;10;7.68615E+11
58;201903;2019-03-01 00:00:00;8;2.68145E+12
59;201903;2019-03-01 00:00:00;24;4.18343E+12
60;201903;2019-03-01 00:00:00;13;7.94266E+11
61;201903;2019-03-01 00:00:00;4;23223889187
62;201903;2019-03-01 00:00:00;19;3.39207E+12
63;201903;2019-03-01 00:00:00;15;4.27914E+12
64;201903;2019-03-01 00:00:00;18;4.11146E+12
65;201903;2019-03-01 00:00:00;21;1.85398E+11
66;201903;2019-03-01 00:00:00;16;1.25037E+11
67;201903;2019-03-01 00:00:00;14;2.38424E+11
68;201903;2019-03-01 00:00:00;3;2.80558E+12
69;201903;2019-03-01 00:00:00;23;91690969139
70;201903;2019-03-01 00:00:00;5;2.14375E+11
71;201903;2019-03-01 00:00:00;17;6.69049E+11
72;201903;2019-03-01 00:00:00;11;33541346149
73;201903;2019-03-01 00:00:00;20;2.3602E+11
