Columna1;fecham;cod_01;cod_02;tot_deuda;periodo
0;01-12-2018 0:00;8;17;258016;201812
1;01-12-2018 0:00;3;4;1595492165;201812
2;01-12-2018 0:00;4;18;7001944444;201812
3;01-12-2018 0:00;10;15;4646790812;201812
4;01-12-2018 0:00;20;8;10002291667;201812
5;01-12-2018 0:00;18;8;100023000000;201812
6;01-12-2018 0:00;16;19;5197654573;201812
7;01-12-2018 0:00;23;19;16642968293;201812
8;01-12-2018 0:00;10;19;2512478584;201812
9;01-12-2018 0:00;24;6;1416667;201812
10;01-01-2019 0:00;8;17;47104;201901
11;01-01-2019 0:00;3;4;1515177360;201901
12;01-01-2019 0:00;18;15;50000000000;201901
13;01-01-2019 0:00;10;15;1393463475;201901
14;01-01-2019 0:00;16;19;4954460607;201901
15;01-01-2019 0:00;23;19;15772954203;201901
16;01-01-2019 0:00;10;19;3084439631;201901
17;01-01-2019 0:00;18;19;40000000000;201901
18;01-01-2019 0:00;19;24;60000000000;201901
19;01-01-2019 0:00;18;24;160000000000;201901
20;01-01-2019 0:00;4;24;5500458333;201901
21;01-01-2019 0:00;24;6;47760;201901
22;01-02-2019 0:00;8;17;148807;201902
23;01-02-2019 0:00;3;4;1505393300;201902
24;01-02-2019 0:00;18;8;100000000000;201902
25;01-02-2019 0:00;10;19;812181062;201902
26;01-02-2019 0:00;23;19;15826025998;201902
27;01-02-2019 0:00;16;19;4843032314;201902
28;01-02-2019 0:00;20;3;9000000000;201902
29;01-02-2019 0:00;5;3;20000000000;201902
30;01-02-2019 0:00;18;3;160000000000;201902
31;01-02-2019 0:00;18;24;160000000000;201902
32;01-02-2019 0:00;4;24;4350362500;201902
33;01-02-2019 0:00;5;24;10000000000;201902
34;01-02-2019 0:00;24;6;1369444;201902
35;01-03-2019 0:00;8;17;254432;201903
36;01-03-2019 0:00;19;17;2000333333;201903
37;01-03-2019 0:00;3;4;1571857798;201903
38;01-03-2019 0:00;4;18;2100481250;201903
39;01-03-2019 0:00;13;8;40010000000;201903
40;01-03-2019 0:00;19;8;40006666666;201903
41;01-03-2019 0:00;16;19;5091202714;201903
42;01-03-2019 0:00;10;19;1088988318;201903
43;01-03-2019 0:00;23;19;16329338481;201903
44;01-03-2019 0:00;13;19;30007500000;201903
45;01-03-2019 0:00;13;3;100025000000;201903
46;01-03-2019 0:00;4;3;6201550000;201903
47;01-03-2019 0:00;19;3;100017000000;201903
48;01-03-2019 0:00;24;6;226667;201903
49;01-04-2019 0:00;8;17;43706;201904
50;01-04-2019 0:00;3;4;1576829215;201904
51;01-04-2019 0:00;16;19;5035181083;201904
52;01-04-2019 0:00;10;19;1194334144;201904
53;01-04-2019 0:00;18;19;100000000000;201904
54;01-04-2019 0:00;23;19;16307587455;201904
55;01-04-2019 0:00;18;23;25000000000;201904
56;01-04-2019 0:00;24;6;226667;201904
57;01-05-2019 0:00;8;17;157414;201905
58;01-05-2019 0:00;3;4;1181203711;201905
59;01-05-2019 0:00;4;18;6900527083;201905
60;01-05-2019 0:00;19;15;50000000000;201905
61;01-05-2019 0:00;18;15;150000000000;201905
62;01-05-2019 0:00;10;19;1526394897;201905
63;01-05-2019 0:00;18;19;100000000000;201905
64;01-05-2019 0:00;23;19;17166694834;201905
65;01-05-2019 0:00;16;19;5275216925;201905
66;01-05-2019 0:00;4;3;1100091667;201905
67;01-05-2019 0:00;18;3;50000000000;201905
68;01-05-2019 0:00;10;24;82675428;201905
69;01-05-2019 0:00;24;6;283333;201905
70;01-06-2019 0:00;8;17;261175;201906
71;01-06-2019 0:00;18;17;5000694444;201906
72;01-06-2019 0:00;4;17;1200250000;201906
73;01-06-2019 0:00;3;4;1133596295;201906
74;01-06-2019 0:00;4;18;6901293750;201906
75;01-06-2019 0:00;20;5;10001388889;201906
76;01-06-2019 0:00;10;8;2121979039;201906
77;01-06-2019 0:00;16;19;5081162402;201906
78;01-06-2019 0:00;23;19;21301173750;201906
79;01-06-2019 0:00;20;19;15002083333;201906
80;01-06-2019 0:00;8;19;60012500000;201906
81;01-06-2019 0:00;10;19;722541066;201906
82;01-06-2019 0:00;18;19;100014000000;201906
83;01-06-2019 0:00;10;24;78957612;201906
84;01-06-2019 0:00;24;6;283333;201906
85;01-07-2019 0:00;8;17;47800;201907
86;01-07-2019 0:00;3;4;1173390236;201907
87;01-07-2019 0:00;4;18;3450215625;201907
88;01-07-2019 0:00;18;15;160000000000;201907
89;01-07-2019 0:00;19;15;100000000000;201907
90;01-07-2019 0:00;10;8;2511178817;201907
91;01-07-2019 0:00;16;19;5199818972;201907
92;01-07-2019 0:00;23;19;16800876054;201907
93;01-07-2019 0:00;10;19;744483699;201907
94;01-07-2019 0:00;18;3;100000000000;201907
95;01-07-2019 0:00;24;6;340000;201907
96;01-08-2019 0:00;8;17;158721;201908
97;01-08-2019 0:00;3;4;1209562259;201908
98;01-08-2019 0:00;4;18;4000500000;201908
99;01-08-2019 0:00;19;8;140010000000;201908
100;01-08-2019 0:00;10;8;2592485925;201908
101;01-08-2019 0:00;20;8;10000694444;201908
102;01-08-2019 0:00;18;8;100007000000;201908
103;01-08-2019 0:00;16;19;5367999735;201908
104;01-08-2019 0:00;23;19;17436955680;201908
105;01-08-2019 0:00;10;19;786130997;201908
106;01-08-2019 0:00;19;24;50003458333;201908
107;01-08-2019 0:00;18;24;150010000000;201908
108;01-08-2019 0:00;10;13;273346410;201908
109;01-08-2019 0:00;24;6;396667;201908
110;01-09-2019 0:00;8;17;273473;201909
111;01-09-2019 0:00;3;4;752196429;201909
112;01-09-2019 0:00;4;18;6200301389;201909
113;01-09-2019 0:00;18;15;100000000000;201909
114;01-09-2019 0:00;10;8;183348391;201909
115;01-09-2019 0:00;16;19;5419727306;201909
116;01-09-2019 0:00;23;19;17495301971;201909
117;01-09-2019 0:00;10;19;677482103;201909
118;01-09-2019 0:00;4;3;6571774502;201909
119;01-09-2019 0:00;6;13;30000000000;201909
