 - ; - ; 679 ; 100.072 ; 356 ; - ; 37 ; - ; 160.568 ; 282 ; - ; - ; 4 ; 4 ; - ; 0 ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 8.535 ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; 50.001 ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 278 ; - ; - ; - ; - ; - ; - ; - ; - ; 2.853 ; - ; - ; - ; - ; - ; - ; - ; - 
 7.100 ; - ; - ; - ; - ; - ; - ; - ; 7.100 ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; 14.279 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 4.591 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 0 ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; 52 ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
 - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
