;  banco_0  ;  banco_1  ;  banco_2  ;  banco_3  ;  banco_4  ;  banco_5  ;  banco_6  ;  banco_7  ;  banco_8  ;  banco_9  ;  banco_10  ;  banco_11  ;  banco_12  ;  banco_13  ;  banco_14  ;  banco_15  ;  banco_16  ;  banco_17  
  banco_0  ;0;0;0.0019026;0.2804773;0.0009979;0;0.0001044;0;0.4500332;0.0007895;0;0;0.0000124;0.0000109;0;0.0000004;0;0
  banco_1  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_2  ;0;0;0;0;0;0;0;0;0;0;0;0.0239221;0;0;0;0;0;0
  banco_3  ;0;0;0;0;0;0;0;0;0.14014;0;0;0;0;0;0;0;0;0
  banco_4  ;0.0007803;0;0;0;0;0;0;0;0;0.0079964;0;0;0;0;0;0;0;0
  banco_5  ;0.0198998;0;0;0;0;0;0;0;0.0198999;0;0;0;0;0;0;0;0;0
  banco_6  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_7  ;0;0;0;0.0400192;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_8  ;0.0128683;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0000005;0;0;0
  banco_9  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_10  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_11  ;0;0;0;0;0;0;0;0;0;0.0001448;0;0;0;0;0;0;0;0
  banco_12  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_13  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_14  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_15  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_16  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  banco_17  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
